No,ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating
199,,Kacang Kedelai Kukus,150,21.4,8.2,4.2,Serealia,4.96
200,,Kacang Kedelai Rebus,378,25.4,40.4,16.4,Serealia,3.31
201,CP009,Kacang Merah Rebus,288,49.4,20,2,Kacang-kacangan,3.52
202,CP008,Kacang Merah Kering Rebus,316,56.4,20.6,1.8,Kacang-kacangan,3.59
203,CP010,Kacang Mete Goreng,1258,39.6,40.8,112.6,Kacang-kacangan,3.42
204,DP011,Kacang Panjang Kukus,78,15.2,6,1.2,Sayuran,4.55
205,DP012,Kacang Panjang Rebus,60,11.6,4.6,0.8,Sayuran,3.32
206,,Kacang Panjang Tumis,300,14,5,25,Sayuran,4.3
207,CP014,Kacang Tolo Rebus,276,45.2,21.4,2.2,Kacang-kacangan,2.06
208,CR016,Kacang Kapri,196,35.4,13.4,0.8,Kacang-kacangan,4.75
209,DR102,Kapri Muda,90,18,6.6,0.4,Sayuran,3.6
210,CP012,Kacang Tanah Goreng,1128,51,51,88.8,Kacang-kacangan,3.63
211,CP013,Kacang Tanah Rebus,440,16,21.2,36,Kacang-kacangan,3.38
212,,Kaholeo,826,59.6,57.4,39.6,Ikan dan Makanan Laut,3.1
213,BP009,Suweg Kukus,186,43.8,3,0.2,Umbi Berpati,3.83
214,,Kalio Jeroan,326,8.2,33,18,Daging,4.85
215,FP051,Kalio Kikil (Tunjang) ,244,7.8,27.6,11.4,Daging,3.79
216,HP007,Kalio Telur ,386,19.4,21.2,24.8,Telur,4.8
217,DP013,Kangkung Kukus,60,9.4,6.4,1.4,Sayuran,3.28
218,DP014,Kangkung Rebus,44,6.2,5,1.2,Sayuran,4.21
219,DP037,Karedok,184,28.2,4.4,6.6,Sayuran,2.38
220,CR003,Kecipir Kering,800,68.2,68.8,33.8,Kacang-kacangan,3.83
221,CP001,Kecipir Rebus,408,35,33.8,17.6,Kacang-kacangan,4.83
222,CR017,Kacang Kedelai,762,49.8,80.8,33.4,Kacang-kacangan,3.2
223,KR002,Daging Kelapa Tua,718,28,6.8,69.4,Minyak/Lemak,4.14
224,,Air Kelapa Muda,34,7.6,0.4,0.2,Buah,3.41
225,ER046,Daging Kelapa Muda,136,28,2,1.8,Buah,4.87
226,AP058,Klepon,430,83.6,7.4,7.4,Serealia,4.84
227,BP041,Keripik Kemplang,650,157,3.6,0.8,Umbi Berpati,4.73
228,DP038,Keripik Bayam,1172,100.4,9.8,81.2,Sayuran,2.74
229,,Keripik Gadung,892,152,5.6,29,Umbi Berpati,4.28
230,BP036,Keripik Kentang,896,134.2,5.4,37.6,Umbi Berpati,4.18
231,,Keripik Oncom,1196,85.2,16.6,87.6,Kacang-kacangan,3.56
232,BP037,Keripik Singkong,956,144,1.8,41.4,Umbi Berpati,4.37
233,,Keripik Singkong Berbumbu,962,147.2,4.4,39.4,Umbi Berpati,2.9
234,,Keripik Tempe,1162,83.4,24.2,81.2,Kacang-kacangan,3.79
235,,Keripik Tempe Abadi Murni,1084,23.2,80.6,84.8,Kacang-kacangan,3.39
236,,Keripik Ubi,972,135.2,0.4,47.8,Umbi Berpati,3.35
237,,Kerupuk Cumi Goreng,888,142.6,13.8,29.2,Ikan dan Makanan Laut,4.26
238,,Kerupuk Ikan,684,131.2,32,0.8,Ikan dan Makanan Laut,4.41
239,,Kerupuk Kemplang Goreng,1008,114.2,11.2,56.2,Ikan dan Makanan Laut,4.76
240,,Kerupuk Kemplang Panggang,712,153.8,19.4,2.2,Ikan dan Makanan Laut,3.4
241,DR115,Kerupuk Koro,256,44.2,16.6,1.4,Sayuran,2.69
242,,Kerupuk Kulit Kerbau,844,0,166,8,Daging,3.51
243,EP004,Kerupuk Lampung,970,139.4,3.4,44.4,Buah,4.97
244,,Emping Melinjo Tebal Goreng Asin,862,126,22.2,32.4,Kacang-kacangan,4.85
245,,Emping Melinjo Tebal Goreng Manis,878,131.4,20,32.8,Kacang-kacangan,3.5
246,,Emping Melinjo Tipis Goreng,970,118.2,23,49,Kacang-kacangan,2.63
247,,Kerupuk Mie Kuning,952,142.6,0.2,42.2,Umbi Berpati,3.34
248,,Kerupuk Udang,680,104,60,60,Ikan dan Makanan Laut,3.43
249,,Kerupuk Udang Berpati,718,664,34.4,136.4,Ikan dan Makanan Laut,4.92
250,,Kerupuk Udang Goreng,954,137,9.4,41,Ikan dan Makanan Laut,4.54
251,ER048,Kesemek ,156,40,1.6,0.8,Buah,2.83
252,,Ketan Hitam,362,74.6,8,2.4,Serealia,3.58
253,,Singkong Kukus,306,72.8,2.4,0.6,Umbi Berpati,2.7
254,GP095,Keumamah Tumis,600,31,29,40,Ikan dan Makanan Laut,3.68
255,MP009,Kopi Bubuk Instan,258,70,24.6,1,Konfeksioneri,2.17
256,,Kripik Tempe Goreng,1084,23,80.6,84.8,Kacang-kacangan,4.68
257,AP065,Kue Ali,880,129,7.6,37,Serealia,4.67
258,,Kue Apem,373.4,79.2,3.2,3.2,Serealia,2.69
259,AP066,Kue Bangen,884,148.4,6.6,29.4,Serealia,2.63
260,,Kue Bangket,676,160.6,3,2.4,Umbi Berpati,2.44
261,AP067,Kue Gelang,896,140,11.6,32.2,Serealia,4.6
262,AP068,Kue Jahe,850,169.2,3.2,17.6,Serealia,2.38
263,AP069,Kue Kelapa,1182,95,11.2,84.2,Serealia,2.13
264,AP070,Kue Koa,680,158.6,9.6,0.8,Serealia,3.59
265,AP071,Kue Ku Temu,428,99.2,7,0.4,Serealia,3.64
266,AP072,Kue Lumpur,582,88.2,7.2,22.2,Serealia,2.41
267,AP073,Kue Pelita,282,35.2,10.6,11,Serealia,2.7
268,AP074,Kue Putu Cangkir,608,109.8,10.6,14,Serealia,2.31
269,,Kue Putu Singkong,434,106.4,2.4,1,Umbi Berpati,4.35
270,AP075,Kue Sus,442,49.6,15,20.4,Serealia,3.02
271,AP041,Kue Tapai,646,100.2,9.8,23,Serealia,2.56
272,AP076,Kue Timphan,494,99,5.8,8.4,Serealia,3.97
273,CP046,Kuaci,1030,27.6,61.2,84.2,Kacang-kacangan,2.09
274,ER049,Langsat ,172,26,3.2,0.4,Buah,3.72
275,,Lapis Legit,778,111,13.2,31.4,Serealia,2.42
276,FP053,Lawar Babi ,348,6,34,20,Daging,2.14
277,FP054,Lawar Penyu,282,15.2,46,3,Daging,3.33
278,FP055,Ham,318,20.2,10,21.8,Daging,2.14
279,GP073,Lawara Penjah ,414,19.2,14.8,30.8,Ikan dan Makanan Laut,3.92
280,EP005,Ledre Pisang,810,169.8,9.6,10.2,Buah,4.01
281,ER052,Lemon ,68,12.4,1,1.6,Buah,4.82
282,,Lemon Squash,72,20,0,0,Buah,2.75
283,,Lemonade,60,16,0,0,Buah,4.99
284,,Lemper,442.6,86.8,7.6,7.2,Serealia,4.22
285,EP006,Lempog Durian,640,127.4,7,11.4,Buah,3.58
286,,Lupis Ketan,328,69,3.6,4.2,Serealia,2.92
287,ER054,Mangga ,104,24.6,1.4,0,Buah,4.19
288,ER055,Mangga Benggala,126,24.8,4.8,0.8,Buah,2.23
289,,Mangga Gedong,88,22.4,1.4,0.4,Buah,3.48
290,,Mangga Golek,126,33.4,1,0.4,Buah,4.47
291,ER058,Mangga Harumanis,92,23.8,0.8,0.4,Buah,4.24
292,ER059,Mangga Indramayu ,144,37.4,1.6,0.4,Buah,2.42
293,ER060,Mangga Kopek,112,29.2,0.8,0.4,Buah,3.86
294,ER061,Mangga Kweni ,172,39.6,1.4,1,Buah,3.22
295,ER062,Mangga Manalagi ,266,64.2,2,0.2,Buah,2.84
296,ER063,Mangga Mentah ,118,30.2,1,0.8,Buah,2.78
297,ER028,Mangga Plum,136,36,1.4,0.2,Buah,2.3
298,ER025,Mangga Saipan ,196,50.8,2.8,0.4,Buah,4.08
299,ER064,Manggis ,126,31.2,1.2,1.2,Buah,4.52
300,,Markisa ,288,59.6,7,2.4,Buah,2.38
301,,Markisa Squash,434,99.2,5,2,Buah,2.91
302,,Markisa Squash BD,208,47.4,2.4,1,Buah,3.59
303,AP081,Martabak India,306,48.6,9,8.4,Serealia,2.06
304,,Martabak Manis,530.6,98.6,9.4,11,Serealia,4.47
305,AP082,Martabak Mesir,556,90,10.2,17.2,Serealia,2.59
306,,Martabak Telur,400,59,17.8,10.2,Serealia,2.79
307,ER067,Melon ,74,15.6,1.2,0.8,Buah,3.79
308,,Mi Basah,176,28,1.2,6.6,Serealia,4.7
309,AP084,Mie Aceh Rebus,226,36.2,6,6.4,Serealia,3.22
310,AP085,Mie Ayam,204,21,12.4,7.8,Serealia,2.34
311,AP086,Mie Bakso,228,32.8,10.6,6,Serealia,4.53
312,BP050,Mie Bendo,706,176,0.6,0,Umbi Berpati,3.56
313,AP087,Mie Celon,204,35.6,6,4.2,Serealia,3.56
314,AP022,Mie Kering,678,12.6,20,3.4,Serealia,2.89
315,BP049,Mie Golosor,142,31.8,0.4,1.6,Umbi Berpati,2.38
316,,Mie Goreng,936,124.8,15.2,40.8,Serealia,4.19
