ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating,,,,
,Kacang Panjang tumis,300,14,5,25,Sayuran,4.3,,,,
CP014,Kacang polong hitam rebus,276,45.2,21.4,2.2,Kacang-kacangan,2.06,,,,
CR016,Kacang polong yang bisa dimakan ,196,35.4,13.4,0.8,Kacang-kacangan,4.75,,,,
DR102,Kacang polong yang bisa dimakan mentah ,90,18,6.6,0.4,Sayuran,3.6,,,,
CP003,Kacang tanah bambara rebus,322,54.2,15.4,5.6,Kacang-kacangan,4.54,,,,
CP012,Kacang tanah digoreng,1128,51,51,88.8,Kacang-kacangan,3.63,,,,
CP013,Kacang tanah rebus,440,16,21.2,36,Kacang-kacangan,3.38,,,,
,Kaholeo,826,59.6,57.4,39.6,Ikan dan Makanan Laut,3.1,,,,
BP009,Kaki gajah ubi dikukus,186,43.8,3,0.2,Umbi Berpati,3.83,,,,
,Kalio jeroan,326,8.2,33,18,Daging,4.85,,,,
FP051,Kalio kikil (tunjang) ,244,7.8,27.6,11.4,Daging,3.79,,,,
HP007,Kalio telur ,386,19.4,21.2,24.8,Telur,4.8,,,,
DP013,Kangkung dikukus,60,9.4,6.4,1.4,Sayuran,3.28,,,,
DP014,Kangkung rebus,44,6.2,5,1.2,Sayuran,4.21,,,,
DP037,Karedok sayuran,184,28.2,4.4,6.6,Sayuran,2.38,,,,
FP047,Kari kambing,252,12.4,8.4,18.8,Daging,2.09,,,,
DP033,Kari pakis,286,12,8,22.8,Sayuran,3.03,,,,
CR003,Kecipir dikeringkan,800,68.2,68.8,33.8,Kacang-kacangan,3.83,,,,
CP001,Kecipir rebus,408,35,33.8,17.6,Kacang-kacangan,4.83,,,,
CP006,Kedelai digoreng,1042,45.8,64.4,75.4,Kacang-kacangan,3.44,,,,
CR017,Kedelai dikeringkan,762,49.8,80.8,33.4,Kacang-kacangan,3.2,,,,
CP007,Kedelai rebus,378,25.4,40.4,16.4,Kacang-kacangan,2.81,,,,
KR002,Kelapa matang daging ,718,28,6.8,69.4,Minyak/Lemak,4.14,,,,
,Kelapa Muda air,34,7.6,0.4,0.2,Buah,3.41,,,,
ER046,Kelapa muda daging ,136,28,2,1.8,Buah,4.87,,,,
AP058,Kelepon kue,430,83.6,7.4,7.4,Serealia,4.84,,,,
BP041,Kemplang (ikan) keripik mentah,650,157,3.6,0.8,Umbi Berpati,4.73,,,,
BP042,Kemplang emping goreng,1008,114.2,11.2,56.2,Umbi Berpati,3.12,,,,
BP043,Kemplang emping panggang,712,153.8,19.4,2.2,Umbi Berpati,2.36,,,,
DP038,Keripik bayam,1172,100.4,9.8,81.2,Sayuran,2.74,,,,
,Keripik gadung,892,152,5.6,29,Umbi Berpati,4.28,,,,
BP036,Keripik kentang,896,134.2,5.4,37.6,Umbi Berpati,4.18,,,,
BP039,Keripik kentang manis,972,135.2,0.4,47.8,Umbi Berpati,4.59,,,,
,Keripik oncom,1196,85.2,16.6,87.6,Kacang-kacangan,3.56,,,,
BP037,Keripik singkong,956,144,1.8,41.4,Umbi Berpati,4.37,,,,
,Keripik singkong berbumbu,962,147.2,4.4,39.4,Umbi Berpati,2.9,,,,
,Keripik tempe,1162,83.4,24.2,81.2,Kacang-kacangan,3.79,,,,
,Keripik tempe abadi murni,1084,23.2,80.6,84.8,Kacang-kacangan,3.39,,,,
,Keripik tempe abadi sedang,1020,104.8,24.6,55.8,Kacang-kacangan,4.43,,,,
,Keripik tempe abadi telur,1058,80.4,41.6,63.4,Kacang-kacangan,2.67,,,,
,Keripik ubi,972,135.2,0.4,47.8,Umbi Berpati,3.35,,,,
,Kerupuk cumi goreng,888,142.6,13.8,29.2,Ikan dan Makanan Laut,4.26,,,,
,Kerupuk Ikan berpati,684,131.2,32,0.8,Ikan dan Makanan Laut,4.41,,,,
,Kerupuk kemplang goreng,1008,114.2,11.2,56.2,Ikan dan Makanan Laut,4.76,,,,
,Kerupuk kemplang panggang,712,153.8,19.4,2.2,Ikan dan Makanan Laut,3.4,,,,
DR115,Kerupuk koro polong,256,44.2,16.6,1.4,Sayuran,2.69,,,,
,Kerupuk Kulit kerbau,844,0,166,8,Daging,3.51,,,,
EP004,kerupuk lampung,970,139.4,3.4,44.4,Buah,4.97,,,,
,Kerupuk Melinjo tebal goreng asin,862,126,22.2,32.4,Kacang-kacangan,4.85,,,,
,Kerupuk Melinjo tebal goreng manis,878,131.4,20,32.8,Kacang-kacangan,3.5,,,,
,Kerupuk Melinjo tipis goreng,970,118.2,23,49,Kacang-kacangan,2.63,,,,
,Kerupuk mie kuning goreng,952,142.6,0.2,42.2,Umbi Berpati,3.34,,,,
,Kerupuk Udang,680,104,60,60,Ikan dan Makanan Laut,3.43,,,,
,Kerupuk Udang berpati,718,664,34.4,136.4,Ikan dan Makanan Laut,4.92,,,,
,Kerupuk udang goreng,954,137,9.4,41,Ikan dan Makanan Laut,4.54,,,,
ER048,Kesemek ,156,40,1.6,0.8,Buah,2.83,,,,
,Ketan hitam matang,362,74.6,8,2.4,Serealia,3.58,,,,
,Ketan putih matang,326,71.4,6,0.8,Serealia,4.63,,,,
,Ketela pohon/singkong kukus,306,72.8,2.4,0.6,Umbi Berpati,2.7,,,,
GP095,Keumamah tumis,600,31,29,40,Ikan dan Makanan Laut,3.68,,,,
MP009,Kopi bubuk instan,258,70,24.6,1,Konfeksioneri,2.17,,,,
,Kripik Tempe Goreng,1084,23,80.6,84.8,Kacang-kacangan,4.68,,,,
AP065,Kue ali,880,129,7.6,37,Serealia,4.67,,,,
,Kue Apem,373.4,79.2,3.2,3.2,Serealia,2.69,,,,
AP066,kue bangen,884,148.4,6.6,29.4,Serealia,2.63,,,,
,Kue bangket,676,160.6,3,2.4,Umbi Berpati,2.44,,,,
AP067,kue gelang,896,140,11.6,32.2,Serealia,4.6,,,,
AP068,kue jahe,850,169.2,3.2,17.6,Serealia,2.38,,,,
AP069,kue kelapa,1182,95,11.2,84.2,Serealia,2.13,,,,
AP070,kue koa,680,158.6,9.6,0.8,Serealia,3.59,,,,
AP071,Kue ku temu,428,99.2,7,0.4,Serealia,3.64,,,,
AP072,kue lumpur,582,88.2,7.2,22.2,Serealia,2.41,,,,
AP073,kue pelita,282,35.2,10.6,11,Serealia,2.7,,,,
AP074,Kue putu cangkir,608,109.8,10.6,14,Serealia,2.31,,,,
,Kue putu singkong,434,106.4,2.4,1,Umbi Berpati,4.35,,,,
AP075,kue sus,442,49.6,15,20.4,Serealia,3.02,,,,
AP041,kue tapai,646,100.2,9.8,23,Serealia,2.56,,,,
AP076,Kue Thipan,494,99,5.8,8.4,Serealia,3.97,,,,
CP046,Kwaci (biji bunga matahari kering),1030,27.6,61.2,84.2,Kacang-kacangan,2.09,,,,
ER049,Langsat ,172,26,3.2,0.4,Buah,3.72,,,,
,Lapis legit,778,111,13.2,31.4,Serealia,2.42,,,,
FP053,Lawar Babi ,348,6,34,20,Daging,2.14,,,,
FP054,Lawar Penyu nya,282,15.2,46,3,Daging,3.33,,,,
FP055,Lawara jangang ,318,20.2,10,21.8,Daging,2.14,,,,
GP073,Lawara penjah ,414,19.2,14.8,30.8,Ikan dan Makanan Laut,3.92,,,,
EP005,Ledre pisang,810,169.8,9.6,10.2,Buah,4.01,,,,
ER052,Lemon ,68,12.4,1,1.6,Buah,4.82,,,,
,Lemon Squash,72,20,0,0,Buah,2.75,,,,
,Lemonade,60,16,0,0,Buah,4.99,,,,
,Lemper,442.6,86.8,7.6,7.2,Serealia,4.22,,,,
EP006,Lempog durian,640,127.4,7,11.4,Buah,3.58,,,,
,Lupis ketan,328,69,3.6,4.2,Serealia,2.92,,,,
